product_name,brand,ratings,num_of_reviews,old_price,product_price
"Vaseline Body Gel Oil, Cocoa Radiant for Glowing Skin Cocoa Radiant - 6.8 fl oz",Vaseline,4.0,323.0,0.0,9.49
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented - 16 fl oz,CeraVe,4.5,8893.0,0.0,18.99
L'Oreal Paris Elvive Total Repair Extreme Renewing Conditioner - 12.6 fl oz,L'Oreal Paris Elvive,4.5,306.0,0.0,5.49
Gold Bond Age Renew Neck & Chest Skin Firming Age Renew Cream Fragrance Free - 2 oz,Gold Bond,4.0,4081.0,0.0,13.99
Nexxus Comb Thru Finishing Mist - 10 oz,Nexxus,4.0,461.0,0.0,17.99
L'Oreal Paris Elvive Total Repair 5 Repairing Conditioner for Damaged Hair - 12.6 fl oz,L'Oreal Paris Elvive,4.0,460.0,0.0,5.49
Walgreens Cough Drops Honey Lemon - 200 ea,Walgreens,4.5,375.0,0.0,6.49
"Always Discreet Adult Incontinence Pads for Women, Postpartum Pads No scent, Light Absorbency, Regular Length - 30 ea",Always Discreet,4.5,524.0,0.0,7.99
"Always Discreet Adult Incontinence Pads for Women, Moderate Absorbency, Regular Length Regular Length - 66 ea",Always Discreet,4.5,4.0,0.0,18.99
"Colgate Adult Manual Full Head Toothbrush, Soft One Size Multicolor (Packaging May Vary) - 1 ea",Colgate,4.5,360.0,0.0,1.29
Colgate MaxFresh Toothpaste with Mini Breath Strips Clean Mint (Packaging May Vary) - 6 oz,Colgate MaxFresh,4.5,295.0,0.0,4.0
Polident 3 Minute Antibacterial Denture Cleanser Effervescent Tablets Triple Mint - 120 ea,Polident,4.5,253.0,0.0,8.49
Olay Fresh Outlast Body Wash White Strawberry & Mint - 22 fl oz,Olay Fresh Outlast,4.5,52382.0,0.0,7.0
Nexxus Maxximum Finishing Mist for Control - 10 oz,Nexxus,4.0,259.0,0.0,17.99
Walgreens Long Pantiliners Unscented - 92 ea,Walgreens,4.0,395.0,0.0,4.49
"Gold Bond Healing Hand Cream, With Aloe to Soothe & Comfort - 3 oz",Gold Bond,4.5,1857.0,0.0,4.79
"Garnier Whole Blends Repairing Conditioner, Honey Treasures - 12.5 fl oz",Garnier Whole Blends,4.0,20917.0,0.0,5.99
Softsoap Liquid Hand Soap Pump Fresh Clear - 7.5 fl oz,Softsoap,4.0,1237.0,0.0,2.49
Chloraseptic Sore Throat Lozenges Cherry (Actual Item May Vary) - 18 ea,Chloraseptic,4.0,161.0,0.0,6.49
Ricola Cough Drops Original (Actual Item May Vary) - 21 ea,Ricola,4.5,433.0,0.0,3.99
Crest Whitening Plus Scope Toothpaste - 5.4 oz x 2 pack,Crest,4.5,8041.0,0.0,7.0
"Olay Complete Lotion Moisturizer with SPF 15, Sensitive Skin Fragrance-Free - 6 fl oz",Olay Complete,4.5,555.0,0.0,16.99
Nivea Shea Nourish Body Lotion - 16.9 fl oz,Nivea,4.5,482.0,0.0,10.99
Nivea Intense Healing Body Lotion - 16.9 fl oz,Nivea,4.5,360.0,0.0,10.99
Ricola Herb Throat Drops Sugar Free Lemon Mint (Actual Item May Vary) - 19 ea,Ricola,4.5,277.0,0.0,3.99
Nivea Body Lotion Cocoa Butter - 16.9 fl oz,Nivea,4.5,1298.0,0.0,10.99
Olay Complete Lotion Moisturizer with SPF 15 Normal - 4 fl oz,Olay Complete,4.5,210.0,0.0,11.99
ChapStick Flavored Lip Balm Tube Classic Cherry - 0.15 oz,ChapStick,4.0,19896.0,0.0,1.99
Luden's Throat Drops Wild Cherry - 90 ea,Luden's,4.0,271.0,0.0,5.99
Colgate Total Toothpaste Gel Fresh Mint Stripe - 3.3 oz,Colgate Total,4.5,413.0,0.0,4.0
Pantene Daily Moisture Renewal 72 Hour Lush Moisture Shampoo - 12 OZ,Pantene,4.5,390.0,0.0,5.0
Walgreens 24 Hour Relief Allergy Nasal Spray - .62 fl oz,Walgreens,4.5,135.0,0.0,22.99
ChapStick Classic Lip Balm Tube Strawberry - 0.15 oz,ChapStick,4.5,68.0,0.0,1.99
Crest Advanced Deep Clean Toothpaste Mint - 5.1 oz,Crest,4.0,588.0,0.0,5.0
"Gold Bond Medicated Original Strength Body Powder, Talc-Free - 10 oz",Gold Bond,4.0,534.0,0.0,8.49
Burt's Bees Kids Toothpaste Strawberry Splash - 4.7 oz,Burt's Bees,4.0,164.0,0.0,4.79
Ricola Echinacea Cough Drops Honey Lemon (Actual Item May Vary) - 19 ea,Ricola,4.5,112.0,0.0,3.99
ChapStick Lip Balm Tropical Paradise - 0.15 oz,ChapStick,4.0,86.0,0.0,1.99
ChapStick Moisturizer SPF 15 Original - .15 oz,ChapStick,2.5,130.0,0.0,1.99
Calmoseptine Calmoseptine Ointment to Prevent & Heal Skin Irritations - 4 oz,Calmoseptine,4.5,618.0,0.0,11.49
PreserVision AREDS 2 Formula Eye Vitamin & Mineral Supplement Softgels - 120 ea,PreserVision,4.5,1851.0,0.0,39.99
AZO Urinary Pain Relief Maximum Strength Tablets - 12 EA,AZO,4.5,1163.0,0.0,11.99
Monistat 1 Day or Night Ovule Insert Plus External Cream Combination Pack - 1 set,Monistat 1,3.5,321.0,0.0,25.99
Purell Advanced Hand Sanitizer Gel - 2 fl oz,Purell,4.5,114.0,0.0,2.09
OraQuick In-Home HIV Test - 1 ea,OraQuick,4.5,277.0,0.0,49.99
Crest 3D Whitestrips Professional Effects Teeth Whitening Kit - 1 set,Crest,4.0,4781.0,0.0,45.99
Bausch + Lomb Eye Wash - 4 fl oz,Bausch + Lomb,4.5,262.0,0.0,5.49
Crest Pro-Health Multi Protection Oral Rinse Clean Mint - 33.8 fl oz,Crest Pro-Health,4.5,4314.0,0.0,6.0
Abreva Docosanol 10% Cold Sore Cream Tube (Actual Item May Vary) - 0.07 oz,Abreva,4.0,1464.0,0.0,22.99
Walgreens Premium Saline Nasal Moisturizing Spray - 3 fl oz,Walgreens,4.0,31.0,0.0,6.99
Vanicream Shampoo - 12 fl oz,Vanicream,4.5,435.0,0.0,12.99
"CeraVe SA Body Wash, Gentle Exfoliating Salicylic Acid Cleanser for Rough & Bumpy Skin - 10 fl oz",CeraVe,4.5,275.0,0.0,13.99
RepHresh Odor Eliminating Vaginal Gel - 4 ea,RepHresh,4.0,11458.0,0.0,29.99
SheaMoisture Smoothie Curl Enhancing Cream Coconut and Hibiscus - 12 oz,SheaMoisture,4.0,720.0,0.0,13.99
"Olay Ultra Moisture Ultra Moisture Bar Soap Shea Butter, 6 bars, 4 oz each - 3.75 oz x 6 pack",Olay Ultra Moisture,4.0,403.0,0.0,8.29
"Always Radiant Feminine Pads For Women, Regular, With Wings Light Clean, Size 1 (30 ct) - 30 ea",Always,4.5,1805.0,0.0,11.99
Softsoap Antibacterial Liquid Hand Soap Pump Crisp Clean - 11.25 fl oz,Softsoap,4.5,267.0,0.0,3.29
Refresh Mega-3 Lubricant Eye Drops Preservative-Free - 0.01 fl oz x 30 pack,Refresh,4.5,2480.0,0.0,21.99
Dial Body Wash Gold Gold - 16 fl oz,Dial,4.5,471.0,0.0,6.29
"Walgreens Incontinence Briefs with Tabs, Unisex, Maximum Absorbency Large - 32 ea",Walgreens,4.0,140.0,0.0,18.99
La Roche-Posay Anthelios Sunscreen for Face SPF 50 Tinted - 1.7 fl oz,La Roche-Posay Anthelios,4.0,2762.0,0.0,37.99
